Start: (4.89, 2.26), Iterations: 47.0, Height: 1.056492 
Start: (5.42, 2.26), Iterations: 47.0, Height: 2.275437 
Start: (5.95, 2.26), Iterations: 73.0, Height: 0.276748 
Start: (6.47, 2.26), Iterations: 41.0, Height: 1.646255 
Start: (7.00, 2.26), Iterations: 33.0, Height: 2.464491 
Start: (-3.00, 2.79), Iterations: 85.0, Height: 0.233544 
Start: (-2.47, 2.79), Iterations: 81.0, Height: 2.081189 
Start: (-1.95, 2.79), Iterations: 65.0, Height: 2.289754 
Start: (-1.42, 2.79), Iterations: 25.0, Height: 3.000000 
Start: (-0.89, 2.79), Iterations: 85.0, Height: 0.291594 
Start: (-0.37, 2.79), Iterations: 73.0, Height: 3.000000 
Start: (0.16, 2.79), Iterations: 100.0, Height: 0.744147 
Start: (0.68, 2.79), Iterations: 21.0, Height: 0.196794 
Start: (1.21, 2.79), Iterations: 93.0, Height: 1.646255 
Start: (1.74, 2.79), Iterations: 7.0, Height: 0.196794 
Start: (2.26, 2.79), Iterations: 7.0, Height: 3.000000 
Start: (2.79, 2.79), Iterations: 21.0, Height: 2.081189 
Start: (3.32, 2.79), Iterations: 25.0, Height: 1.854695 
Start: (3.84, 2.79), Iterations: 45.0, Height: 2.464491 
Start: (4.37, 2.79), Iterations: 7.0, Height: 2.289754 
Start: (4.89, 2.79), Iterations: 67.0, Height: 3.000000 
Start: (5.42, 2.79), Iterations: 87.0, Height: 2.464491 
Start: (5.95, 2.79), Iterations: 33.0, Height: 2.275437 
Start: (6.47, 2.79), Iterations: 47.0, Height: 3.000000 
Start: (7.00, 2.79), Iterations: 53.0, Height: 0.276748 
Start: (-3.00, 3.32), Iterations: 47.0, Height: 1.207130 
Start: (-2.47, 3.32), Iterations: 47.0, Height: 1.207130 
Start: (-1.95, 3.32), Iterations: 47.0, Height: 0.276748 
Start: (-1.42, 3.32), Iterations: 67.0, Height: 3.000000 
Start: (-0.89, 3.32), Iterations: 47.0, Height: 0.567170 
Start: (-0.37, 3.32), Iterations: 27.0, Height: 0.233544 
Start: (0.16, 3.32), Iterations: 73.0, Height: 2.464491 
Start: (0.68, 3.32), Iterations: 93.0, Height: 0.567170 
Start: (1.21, 3.32), Iterations: 85.0, Height: 2.289754 
Start: (1.74, 3.32), Iterations: 67.0, Height: 2.289754 
Start: (2.26, 3.32), Iterations: 21.0, Height: 1.056492 
Start: (2.79, 3.32), Iterations: 81.0, Height: 2.081189 
Start: (3.32, 3.32), Iterations: 61.0, Height: 1.207130 
Start: (3.84, 3.32), Iterations: 67.0, Height: 0.233544 
Start: (4.37, 3.32), Iterations: 27.0, Height: 1.056492 
